Target_Bin_id,Num_of_seqs
Loc090721-5m_megahit_metabat_bin-124,23
Loc080925-6m_megahit_metabat_bin-0685,52
Loc080925-7m_megahit_metabat_bin-0798,14
Loc090721-5m_megahit_metabat_bin-043,31
Loc090721-6m_megahit_metabat_bin-339,14
Loc090907-5m_megahit_metabat_bin-108,106
Loc090519-1m_megahit_metabat_bin-0538,31
Loc090519-6m_megahit_metabat_bin-0415,20
Loclat_megahit_metabat_bin-09876,31
Loc081215-9m_megahit_metabat_bin-0680,46
Loc090907-5m_megahit_metabat_bin-775,18
Loc090116-9m_megahit_metabat_bin-1285,1245
Loc090721-4m_megahit_metabat_bin-0146,3618
Loc090721-4m_megahit_metabat_bin-0714,29
Loc090402-4m_megahit_metabat_bin-0477,26
Loc081215-1m_megahit_metabat_bin-1578,21
Loc081215-8m_megahit_metabat_bin-3004,16
Loc090519-1m_megahit_metabat_bin-0500,55
Loc090116-9m_megahit_metabat_bin-1282,9
Loc090116-9m_megahit_metabat_bin-0695,10
Loc081215-1m_megahit_metabat_bin-0170,49
Loc081215-6m_megahit_metabat_bin-1744,136
Loc081215-1m_megahit_metabat_bin-0194,132
Loc090519-1m_megahit_metabat_bin-1523,88
Loc090907-5m_megahit_metabat_bin-882,76
Loc090402-8-9m_megahit_metabat_bin-0882,44
Loclat_megahit_metabat_bin-10250,92
Loc080925-6m_megahit_metabat_bin-1285,25
Loc090116-9m_megahit_metabat_bin-0033,10
Loc080925-4m_megahit_metabat_bin-0274,2793
Loc080925-4m_megahit_metabat_bin-0343,16
Loc090721-8m_megahit_metabat_bin-742,12
Loc090519-8-7m_megahit_metabat_bin-2372,29
Loc090519-1m_megahit_metabat_bin-0518,58
Loc081215-9m_megahit_metabat_bin-0584,22
Loc090721-4m_megahit_metabat_bin-0900,11
Loc090721-7m_megahit_metabat_bin-324,17
Loc090402-1m_megahit_metabat_bin-1023,66
Loc090907-8m_megahit_metabat_bin-821,34
Loc090721-8m_megahit_metabat_bin-914,1809
Loc090402-8-9m_megahit_metabat_bin-0037,19
